Item1,Item2,Item3,Item4,Item5,Item6,Item7
Milk,Bread,Eggs,Butter,,,
Apples,Bananas,Yogurt,Cereal,,,
Chicken,Rice,Pasta,Tomatoes,Lettuce,,
Milk,Cereal,Bananas,Juice,,,
Bread,Butter,Cheese,Eggs,,,
Milk,Bread,Sugar,Flour,,,
Eggs,Bacon,Bread,Butter,,,
Apples,Yogurt,Granola,Juice,,,
Chicken,Rice,Tomatoes,Lettuce,,,
Milk,Cheese,Bread,Eggs,,,
Pasta,Sauce,Cheese,Bread,,,
Milk,Cereal,Banana,Juice,,,
Eggs,Bread,Butter,Jam,,,
Apples,Bananas,Chips,Juice,,,
Chicken,Pasta,Sauce,Cheese,,,
Milk,Bread,Cheese,Yogurt,,,
Rice,Beans,Tomatoes,Onions,,,
Bread,Butter,Jam,Eggs,,,
Milk,Cereal,Yogurt,Bananas,,,
Chicken,Rice,Veggies,Sauce,,,
Apples,Juice,Cereal,Yogurt,,,
Bread,Eggs,Butter,Cheese,,,
Milk,Cookies,Chips,Juice,,,
Pasta,Sauce,Cheese,Bread,,,
Rice,Chicken,Tomatoes,Lettuce,,,
Eggs,Milk,Bread,Butter,,,
Apples,Bananas,Yogurt,Granola,,,
Chicken,Rice,Paste,Sauce,,,
Milk,Cereal,Juice,Cookies,,,
Bread,Butter,Jam,Cheese,,,
Eggs,Bacon,Milk,Bread,,,
Apples,Lettuce,Tomatoes,Dressing,,,
Chicken,Pasta,Sauce,Salad,,,
Milk,Yogurt,Cereal,Bananas,,,
Rice,Beans,Veggies,Sauce,,,
Bread,Butter,Cheese,Eggs,,,
Milk,Juice,Cookies,Chips,,,
Pasta,Sauce,Parmesan,Bread,,,
Chicken,Rice,Tomatoes,Lettuce,,,
Eggs,Milk,Bread,Butter,Cheese,,
Apples,Bananas,Yogurt,Juice,,,
Milk,Cereal,Eggs,Bread,,,
Chicken,Potatoes,Carrots,Onions,,,
Bread,Jam,Butter,Cheese,,,
Milk,Yogurt,Granola,Fruit,,,
Rice,Pasta,Sauce,Cheese,,,
Eggs,Bacon,Bread,Butter,,,
Apples,Juice,Cereal,Cookies,,,
Chicken,Rice,Salad,Sauce,,,
Milk,Bread,Cheese,Eggs,Yogurt,,
