Item1,Item2,Item3,Item4,Item5,Item6,Item7
Coffee,Muffin,Cookie,,,,
Latte,Croissant,Coffee,Cookie,,,
Espresso,Biscotti,Coffee,,,,
Tea,Scone,Juice,,,,
Coffee,Sandwich,Salad,Juice,,,
Latte,Muffin,Cookie,,,,
Coffee,Coffee,Bagel,CreamCheese,,,
Smoothie,Salad,Cookie,,,,
Espresso,Croissant,Muffin,,,,
Tea,Muffin,Cookie,Juice,,,
Coffee,Sandwich,Cookie,,,,
Latte,Smoothie,Croissant,Cookie,,,
Coffee,Bagel,CreamCheese,Juice,,,
Tea,Muffin,Cookie,,,,
Espresso,Coffee,Biscotti,,,,
Coffee,Latte,Cookie,,,,
Bagel,CreamCheese,Coffee,Juice,,,
Croissant,Coffee,Muffin,,,,
Latte,Sandwich,Salad,,,,
Coffee,Smoothie,Cookie,,,,
Tea,Scone,Muffin,,,,
Espresso,Biscotti,Coffee,Cookie,,,
Latte,Croissant,Sandwich,Juice,,,
Coffee,Muffin,Cookie,Juice,,,
Coffee,Bagel,CreamCheese,Cookie,,,
Smoothie,Salad,Sandwich,,,,
Tea,Muffin,Cookie,,,,
Espresso,Coffee,Biscotti,,,,
Latte,Croissant,Muffin,Cookie,,,
Coffee,Sandwich,Salad,Juice,,,
Bagel,CreamCheese,Coffee,Muffin,Cookie,,
Smoothie,Juice,Cookie,,,,
Coffee,Latte,Croissant,,,,
Tea,Muffin,Cookie,,,,
Espresso,Biscotti,Smoothie,,,,
Coffee,Bagel,Sandwich,,,,
Latte,Muffin,Cookie,Juice,,,
Tea,Croissant,Coffee,,,,
Smoothie,Salad,Sandwich,Cookie,,,
Coffee,Cookie,Muffin,,,,
Latte,Espresso,Biscotti,,,,
Croissant,Bagel,Coffee,Juice,,,
Tea,Scone,Muffin,,,,
Coffee,Smoothie,Sandwich,Salad,,,
Latte,Cookie,Muffin,,,,
Bagel,CreamCheese,Coffee,Juice,Cookie,,
Espresso,Biscotti,Coffee,,,,
Coffee,Latte,Sandwich,Cookie,,,
Tea,Muffin,Croissant,Juice,,,
Smoothie,Salad,Cookie,,,,
