Item1,Item2,Item3,Item4,Item5,Item6,Item7
Appetizer,Salad,Soup,Steak,Wine,Dessert,
Burger,Fries,Soda,Dessert,,,
Pasta,Salad,Wine,Dessert,,,
Appetizer,Pasta,Wine,Dessert,,,
Salad,Soup,Chicken,Rice,,,
Steak,Fries,Wine,Dessert,,,
Burger,Fries,Soda,,,,
Pasta,Appetizer,Wine,Dessert,,,
Soup,Salad,Sandwich,Soda,,,
Steak,Salad,Wine,Dessert,,,
Appetizer,Burger,Fries,Soda,,,
Pasta,Chicken,Rice,Dessert,,,
Salad,Soup,Bread,Wine,,,
Burger,Fries,Cocktail,Dessert,,,
Pasta,Salad,Wine,,,,
Steak,Appetizer,Wine,Dessert,,,
Salad,Sandwich,Soup,Soda,,,
Burger,Fries,Milkshake,Dessert,,,
Pasta,Wine,Appetizer,Dessert,,,
Soup,Salad,Bread,,,,
Steak,Wine,Dessert,,,,
Burger,Fries,Soda,Salad,,,
Pasta,Salad,Appetizer,Dessert,,,
Appetizer,Soup,Wine,,,,
Salad,Chicken,Rice,Dessert,,,
Burger,Fries,Cocktail,Dessert,,,
Pasta,Bread,Soup,Salad,,,
Steak,Appetizer,Wine,Dessert,,,
Salad,Soup,Sandwich,Soda,,,
Burger,Fries,Dessert,,,,
Pasta,Wine,Appetizer,,,,
Appetizer,Salad,Soup,Pasta,,,
Steak,Fries,Wine,Dessert,,,
Burger,Soda,Fries,,,,
Pasta,Salad,Dessert,,,,
Appetizer,Wine,Dessert,,,,
Salad,Soup,Sandwich,,,,
Steak,Potato,Veggies,Wine,Dessert,,
Burger,Fries,Milkshake,,,,
Pasta,Appetizer,Bread,Dessert,,,
Soup,Salad,Wine,,,,
Steak,Salad,Wine,Dessert,,,
Burger,Fries,Soda,Appetizer,,,
Pasta,Chicken,Rice,Salad,,,
Appetizer,Soup,Bread,Wine,,,
Salad,Sandwich,Fries,,,,
Steak,Wine,Dessert,Appetizer,,,
Burger,Fries,Cocktail,Dessert,,,
Pasta,Salad,Soup,Bread,,,
Appetizer,Dessert,Wine,,,,
