Item1,Item2,Item3,Item4,Item5,Item6,Item7
T-Shirt,Jeans,Socks,Sneakers,Belt,,
Dress,Shoes,Scarf,,,,
Blouse,Skirt,Heels,Belt,Scarf,,
T-Shirt,Shorts,Sneakers,Hat,,,
Jacket,Jeans,Sweater,Boots,,,
T-Shirt,Jeans,Sneakers,Socks,,,
Dress,Jacket,Heels,Clutch,,,
Blouse,Skirt,Belt,Scarf,,,
T-Shirt,Jeans,Jacket,Sneakers,,,
Sweater,Jeans,Boots,Scarf,,,
T-Shirt,Shorts,Sandals,Hat,,,
Dress,Necklace,Heels,,,,
Blouse,Jeans,Flats,Belt,,,
Jacket,Sweater,Jeans,Boots,,,
T-Shirt,Jeans,Socks,Sneakers,Cap,,
Dress,Shoes,Scarf,Purse,,,
Blouse,Skirt,Belt,Blazer,,,
T-Shirt,Shorts,Sandals,Sunglasses,,,
Jacket,Jeans,Hoodie,Sneakers,,,
T-Shirt,Jeans,Jacket,Socks,,,
Dress,Cardigan,Heels,,,,
Blouse,Trousers,Flats,Belt,,,
T-Shirt,Jeans,Sneakers,Cap,,,
Sweater,Jeans,Boots,Scarf,Gloves,,
Dress,Shoes,Purse,,,,
T-Shirt,Shorts,Sandals,Sunglasses,,,
Blouse,Skirt,Heels,Clutch,,,
Jacket,Hoodie,Jeans,Sneakers,,,
T-Shirt,Jeans,Socks,FlipFlops,,,
Dress,Belt,Heels,Scarf,,,
Blouse,Jeans,Boots,Cardigan,,,
Jacket,Sweater,Jeans,Boots,Beanie,,
T-Shirt,Shorts,Sneakers,Cap,,,
Dress,Shoes,Necklace,Purse,,,
Blouse,Skirt,Flats,Belt,,,
T-Shirt,Jeans,Hoodie,Sneakers,,,
Sweater,Trousers,Boots,Scarf,,,
Dress,Coat,Heels,Purse,,,
Blouse,Jeans,Sneakers,Belt,,,
Jacket,T-Shirt,Jeans,Boots,,,
T-Shirt,Shorts,Sandals,Sunglasses,Hat,,
Dress,Heels,Scarf,Clutch,,,
Blouse,Skirt,Flats,Purse,,,
Jacket,Sweater,Jeans,Boots,Beanie,Gloves,
T-Shirt,Jeans,Socks,Sneakers,,,
Dress,Shoes,Scarf,,,,
Blouse,Trousers,Blazer,Heels,,,
Jacket,Hoodie,Jeans,Sneakers,Cap,,
T-Shirt,Shorts,FlipFlops,Sunglasses,,,
Dress,Coat,Purse,Heels,,,
Blouse,Skirt,Belt,Boots,,,
T-Shirt,Jeans,Jacket,Sneakers,Socks,,
